"","elevacion","fechahora","lat_geo","lon_geo","lat_utm","lon_utm","tiempo_GPS","hora","horal","distancia"
"118",602.43,2019-10-09 08:48:40,-26.3499224558,-53.9504059218,7081965.97913175,804374.107091115,3,"08:48:40","11:48:40",0.724410142909594
"119",602.21,2019-10-09 08:48:43,-26.349925641,-53.9504057541,7081965.62567279,804374.115489744,3,"08:48:43","11:48:43",0.353558719073082
"120",602.3,2019-10-09 08:48:46,-26.3499241322,-53.9504039939,7081965.78875873,804374.29522792,3,"08:48:46","11:48:46",0.242699065183006
"121",602.36,2019-10-09 08:48:49,-26.3499235455,-53.9504079334,7081965.86309455,804373.903345246,3,"08:48:49","11:48:49",0.398870711174331
"122",602.49,2019-10-09 08:48:52,-26.3499160856,-53.9504127949,7081966.70146629,804373.437402015,3,"08:48:52","11:48:52",0.959150806393214
"123",602.41,2019-10-09 08:48:55,-26.3499086257,-53.9504238591,7081967.55448565,804372.352022345,3,"08:48:55","11:48:55",1.38046769698897
"124",602.41,2019-10-09 08:48:58,-26.3499008305,-53.9504252002,7081968.4217102,804372.238524692,3,"08:48:58","11:48:58",0.874619991269451
"125",602.46,2019-10-09 08:49:01,-26.3498997409,-53.9504335821,7081968.56228047,804371.404317103,3,"08:49:01","11:49:01",0.845968263847785
"126",602.54,2019-10-09 08:49:04,-26.3499004953,-53.9504370186,7081968.48677438,804371.059151576,3,"08:49:04","11:49:04",0.353327625637464
"127",602.51,2019-10-09 08:49:07,-26.3498997409,-53.9504404552,7081968.57851117,804370.717930783,3,"08:49:07","11:49:07",0.353337331171787
"128",602.46,2019-10-09 08:49:10,-26.3498949632,-53.950446574,7081969.12254388,804370.1193959,3,"08:49:10","11:49:10",0.808835945000812
"129",602.46,2019-10-09 08:49:13,-26.3498907723,-53.9504483342,7081969.59124009,804369.954597186,3,"08:49:13","11:49:13",0.496824679934608
"130",602.61,2019-10-09 08:49:16,-26.3498892635,-53.9504521899,7081969.76758788,804369.573500028,3,"08:49:16","11:49:16",0.419920928213853
"131",602.62,2019-10-09 08:49:19,-26.3498903532,-53.9504532795,7081969.64937334,804369.461830251,3,"08:49:19","11:49:19",0.162618624947905
"132",602.72,2019-10-09 08:49:22,-26.3498932868,-53.9504517708,7081969.32063623,804369.604808278,3,"08:49:22","11:49:22",0.358484035435916
"133",602.8,2019-10-09 08:49:25,-26.3498957176,-53.9504490048,7081969.04466281,804369.874665216,3,"08:49:25","11:49:25",0.385984576943632
"134",602.68,2019-10-09 08:49:28,-26.3498979807,-53.9504500106,7081968.79618507,804369.768288591,3,"08:49:28","11:49:28",0.270290907416522
"135",602.71,2019-10-09 08:49:31,-26.3498978131,-53.950450765,7081968.81654416,804369.69338927,3,"08:49:31","11:49:31",0.0776170132412144
"136",602.76,2019-10-09 08:49:34,-26.349896891,-53.9504541177,7081968.92667146,804369.360986745,3,"08:49:34","11:49:34",0.350170619099665
"137",602.84,2019-10-09 08:49:37,-26.3498952985,-53.9504580572,7081969.11249484,804368.971740248,3,"08:49:37","11:49:37",0.431327209143286
"138",602.9,2019-10-09 08:49:40,-26.3498935383,-53.9504631702,7081969.31967805,804368.465741,3,"08:49:40","11:49:40",0.546772459381259
"139",602.93,2019-10-09 08:49:43,-26.3498935383,-53.9504681993,7081969.33155406,804367.963506847,3,"08:49:43","11:49:43",0.502374546037456
"140",602.88,2019-10-09 08:49:46,-26.3498935383,-53.9504694566,7081969.33452312,804367.837945811,3,"08:49:46","11:49:46",0.12559613393211
"141",602.88,2019-10-09 08:49:49,-26.3498995733,-53.950468367,7081968.6630016,804367.930941191,3,"08:49:49","11:49:49",0.677930153266249
"142",602.99,2019-10-09 08:49:52,-26.349899238,-53.9504638407,7081968.6894792,804368.383841739,3,"08:49:52","11:49:52",0.453673858383578
"143",602.97,2019-10-09 08:49:55,-26.3499030098,-53.9504622482,7081968.26763408,804368.532991526,3,"08:49:55","11:49:55",0.447435984912117
"144",603.05,2019-10-09 08:49:58,-26.3499026746,-53.9504615776,7081968.30320567,804368.600839987,3,"08:49:58","11:49:58",0.0766077763452835
"145",603.08,2019-10-09 08:50:01,-26.3499024231,-53.9504619129,7081968.33187494,804368.568014251,3,"08:50:01","11:50:01",0.0435827489844031
"146",602.95,2019-10-09 08:50:04,-26.349901082,-53.9504642598,7081968.48607104,804368.337154792,3,"08:50:04","11:50:04",0.277619393164158
"147",603.05,2019-10-09 08:50:07,-26.3498998247,-53.95046602,7081968.62959287,804368.164666833,3,"08:50:07","11:50:07",0.224389421406254
"148",602.97,2019-10-09 08:50:10,-26.3498962205,-53.9504675288,7081969.03266274,804368.023436489,3,"08:50:10","11:50:10",0.427096387977408
"149",602.96,2019-10-09 08:50:13,-26.3498940412,-53.9504676126,7081969.27442474,804368.020779862,3,"08:50:13","11:50:13",0.241776598799477
"150",603.1,2019-10-09 08:50:16,-26.3498947117,-53.950467445,7081969.19970751,804368.035759907,3,"08:50:16","11:50:16",0.0762041098704093
"151",603.21,2019-10-09 08:50:19,-26.3498971425,-53.950468367,7081968.93244319,804367.937312502,3,"08:50:19","11:50:19",0.284819431411716
"152",603.14,2019-10-09 08:50:22,-26.3498997409,-53.9504686184,7081968.64501768,804367.905395685,3,"08:50:22","11:50:22",0.289192157815847
"153",603.09,2019-10-09 08:50:25,-26.3499021716,-53.9504661039,7081968.36964929,804368.1501367,3,"08:50:25","11:50:25",0.368409980565675
"154",603.1,2019-10-09 08:50:28,-26.3499037642,-53.9504609909,7081968.18104368,804368.656575206,3,"08:50:28","11:50:28",0.540418389832397
"155",603.06,2019-10-09 08:50:31,-26.3499052729,-53.9504574705,7081968.0054988,804369.004187648,3,"08:50:31","11:50:31",0.389423182403895
"156",603.22,2019-10-09 08:50:34,-26.3499076199,-53.9504587278,7081967.74831508,804368.872474939,3,"08:50:34","11:50:34",0.288949309282088
"157",603.33,2019-10-09 08:50:37,-26.3499096315,-53.9504583087,7081967.52434996,804368.909056036,3,"08:50:37","11:50:37",0.226932930218006
"158",603.28,2019-10-09 08:50:40,-26.349912649,-53.950457219,7081967.18730243,804369.009970451,3,"08:50:40","11:50:40",0.351830581446987
